"거리명",거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정년도,관리기관전화번호,관리기관명,데이터기준일자
"영통웰빙특화거리",영통8단지 내 밀집된 음식점을 위생적으로 관리하고자 음식특화거리로 지정하여 관리,경기도 수원시 영통구 영통로214번길 31 (영통동),경기도 수원시 영통구 영통동 975-8,37.2467106,127.0588332,500,44,2009,031-228-2770,경기도 수원시청,2018-07-31
"화성행궁맛촌",화성행궁 맛촌거리 내 밀집된 음식점을 위생적으로 관리하고자 음식문화 개선 특화거리로 지정하여 관리,경기도 수원시 팔달구 정조로 825 (남창동),"경기도 수원시 팔달구 남창동, 팔달로2가",37.2805025,127.0149285,300,32,2013,031-228-7322,경기도 수원시 팔달구청,2018-07-31
"일월먹거리촌",일월천로14번길 일대 주변에 형성된 음식점들을 위생적으로 관리하고자 특화거리로 지정하여 관리,경기도 수원시 권선구 일월천로4번길 43-14 (구운동),경기도 수원시 권선구 구운동 913-1,37.2830833,126.974425,250,68,2015,031-228-6324,경기도 수원시 권선구청,2018-07-31
"나혜석거리 음식문화촌",나혜석거리 내 밀집된 음식점을 위생적으로 관리하고자 음식문화 시범거리로 지정하여 관리,경기도 수원시 팔달구 권광로180번길 49 (인계동),경기도 수원시 팔달구 인계동 1121,37.2637317,127.0347552,300,40,2006,031-228-2770,경기도 수원시청,2018-07-31
